2013-12-20 03:52:59	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:52:59	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:53:00	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:53:00	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:53:00	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:53:00	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:53:02	admin	http://localhost/comTrac/solutions/administrative-investigation-systems/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:53:03	admin	http://localhost/comTrac/solutions/incident-investigation-systems/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:53:03	admin	http://localhost/comTrac/solutions/administrative-investigation-systems/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:53:04	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:53:07	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:54:15	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:54:18	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:54:18	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:54:18	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:54:18	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:54:18	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:56:10	admin	http://localhost/comTrac/solutions/criminal-investigations/	Parse Error: 	syntax error, unexpected '?' (line 42 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 04:51:18	guest	http://comtrac.digital8.com.au/solutions/criminal-investigations/	Error: 	Exception: Table 'comtrac.field_solution_left3' doesn't exist (in /var/websites/comtrac.digital8.com.au/wire/core/Database.php line 118)
2013-12-20 04:51:20	guest	http://comtrac.digital8.com.au/solutions/criminal-investigations/	Error: 	Exception: Table 'comtrac.field_solution_left3' doesn't exist (in /var/websites/comtrac.digital8.com.au/wire/core/Database.php line 118)
2013-12-20 04:51:23	guest	http://comtrac.digital8.com.au/solutions/administrative-investigations/	Error: 	Exception: Table 'comtrac.field_solution_left3' doesn't exist (in /var/websites/comtrac.digital8.com.au/wire/core/Database.php line 118)
2013-12-20 04:51:25	guest	http://comtrac.digital8.com.au/solutions/criminal-investigations/	Error: 	Exception: Table 'comtrac.field_solution_left3' doesn't exist (in /var/websites/comtrac.digital8.com.au/wire/core/Database.php line 118)
2013-12-20 04:51:34	guest	http://comtrac.digital8.com.au/solutions/criminal-investigations/	Error: 	Exception: Table 'comtrac.field_solution_left3' doesn't exist (in /var/websites/comtrac.digital8.com.au/wire/core/Database.php line 118)
2013-12-20 04:53:46	guest	http://comtrac.digital8.com.au/solutions/criminal-investigations/	Error: 	Exception: Table 'comtrac.field_solution_left3' doesn't exist (in /var/websites/comtrac.digital8.com.au/wire/core/Database.php line 118)
2013-12-20 04:53:49	guest	http://comtrac.digital8.com.au/solutions/criminal-investigations/	Error: 	Exception: Table 'comtrac.field_solution_left3' doesn't exist (in /var/websites/comtrac.digital8.com.au/wire/core/Database.php line 118)
2013-12-20 04:53:50	guest	http://comtrac.digital8.com.au/solutions/regulatory-inspection/	Error: 	Exception: Table 'comtrac.field_solution_left3' doesn't exist (in /var/websites/comtrac.digital8.com.au/wire/core/Database.php line 118)
2013-12-20 04:53:52	guest	http://comtrac.digital8.com.au/solutions/investigation-management/	Error: 	Exception: Table 'comtrac.field_solution_left3' doesn't exist (in /var/websites/comtrac.digital8.com.au/wire/core/Database.php line 118)
2013-12-20 04:57:02	guest	http://comtrac.digital8.com.au/solutions/administrative-investigations/	Error: 	Exception: Table 'comtrac.field_solution_left3' doesn't exist (in /var/websites/comtrac.digital8.com.au/wire/core/Database.php line 118)
2013-12-20 04:57:03	guest	http://comtrac.digital8.com.au/solutions/investigation-management/	Error: 	Exception: Table 'comtrac.field_solution_left3' doesn't exist (in /var/websites/comtrac.digital8.com.au/wire/core/Database.php line 118)
2013-12-20 05:00:22	guest	http://comtrac.digital8.com.au/solutions/investigation-management/	Error: 	Exception: Table 'comtrac.field_solution_left3' doesn't exist (in /var/websites/comtrac.digital8.com.au/wire/core/Database.php line 118)
2013-12-23 02:01:07	admin	http://comtrac.digital8.com.au/processwire/news-list/	Parse Error: 	syntax error, unexpected T_FOREACH (line 20 of /var/websites/comtrac.digital8.com.au/site/templates/blog_admin.inc)
2013-12-23 22:03:00	admin	http://comtrac.digital8.com.au/blog-categories/home/nsw-resources-energy/	Error: 	Exception: Method Pageimage::first does not exist or is not callable in this context (in /var/websites/comtrac.digital8.com.au/wire/core/Wire.php line 232)  #0 /var/websites/comtrac.digital8.com.au/site/templates/news-model.php(23): Wire->__call('first', Array) #1 /var/websites/comtrac.digital8.com.au/site/templates/news-model.php(23): Pageimage->first() #2 /var/websites/comtrac.digital8.com.au/wire/core/TemplateFile.php(125): require('/var/websites/c...') #3 [internal function]: TemplateFile->___render() #4 /var/websites/comtrac.digital8.com.au/wire/core/Wire.php(271): call_user_func_array(Array, Array) #5 /var/websites/comtrac.digital8.com.au/wire/core/Wire.php(229): Wire->runHooks('render', Array) #6 /var/websites/comtrac.digital8.com.au/wire/modules/PageRender.module(250): Wire->__call('render', Array) #7 /var/websites/comtrac.digital8.com.au/wire/modules/PageRender.module(250): TemplateFile->render() #8 [internal function]: PageRender->___renderPage(Object(HookEvent)) #9 /var/websites/comtrac.digital8.co
